name,homepage_url,category_list, funding_total_usd ,status,country_code,state_code,region,city,funding_rounds,founded_year,first_funding_at,last_funding_at
Opnext,,Telecommunications," 321,000,000 ",ipo,USA,CA,SF Bay Area,Fremont,1,2000,2001-08-03,2001-08-03
Oversee.net,http://www.oversee.net,Advertising|Lead Generation," 210,000,000 ",operating,USA,CA,Los Angeles,Los Angeles,2,2000,2007-01-01,2008-01-01
Perlegen Sciences,,Biotechnology," 104,000,000 ",operating,USA,CA,SF Bay Area,Mountain View,2,2000,2003-01-28,2005-02-28
RagingWire,http://www.ragingwire.com,Data Centers|Enterprise Software|Geospatial," 230,000,000 ",operating,USA,CA,Sacramento,Sacramento,1,2000,2013-09-18,2013-09-18
Specific Media,http://www.specificmedia.com,Advertising|Auctions|Digital Media," 130,868,275 ",operating,USA,CA,Anaheim,Irvine,6,2000,2006-01-31,2012-01-01
1stdibs,http://www.1stdibs.com,E-Commerce," 117,000,000 ",operating,USA,NY,New York City,New York,5,2001,2011-11-03,2015-09-09
AcuFocus,http://www.acufocus.com,Health Care," 104,000,000 ",operating,USA,CA,Anaheim,Irvine,4,2001,2007-01-16,2014-09-03
BlackLine,http://www.blackline.com,Enterprise Software|SaaS," 220,000,000 ",operating,USA,CA,Los Angeles,Woodland Hills,1,2001,2013-08-16,2013-08-16
Bloom Energy,http://www.bloomenergy.com,Clean Technology," 1,110,000,000 ",operating,USA,CA,SF Bay Area,Sunnyvale,6,2001,2008-01-01,2015-01-27
Boingo Wireless,http://www.boingo.com,Software|Telecommunications," 125,000,000 ",ipo,USA,CA,Los Angeles,Los Angeles,3,2001,2003-10-10,2014-12-01
Canadian Solar,http://www.canadian-solar.com/en,Semiconductors," 155,111,530 ",ipo,USA,CA,Ontario - Inland Empire,Ontario,3,2001,2014-02-26,2015-06-19
Delivery Agent,http://www.deliveryagent.com,E-Commerce," 138,442,109 ",operating,USA,CA,SF Bay Area,San Francisco,12,2001,2005-03-29,2014-08-26
Five9,http://www.five9.com,Enterprise Software|Technology," 114,100,000 ",ipo,USA,CA,SF Bay Area,San Ramon,8,2001,2004-04-28,2014-03-10
Glaukos,http://www.glaukos.com,Health Care," 121,000,392 ",ipo,USA,CA,Los Angeles,Laguna Hills,7,2001,2002-09-01,2013-02-07
Glu Mobile,http://www.glu.com,Freemium|Games|Mobile|Technology," 133,121,250 ",ipo,USA,CA,SF Bay Area,San Francisco,5,2001,2005-04-22,2015-05-14
Intrapace,http://intrapace.com,Biotechnology," 143,922,827 ",operating,USA,CA,SF Bay Area,San Jose,6,2001,2004-07-14,2013-08-26
Liquidnet,http://www.liquidnet.com,Intellectual Asset Management|Investment Management|Marketplaces|Trading," 250,000,000 ",operating,USA,NY,New York City,New York,1,2001,2005-02-18,2005-02-18
Lithium Technologies,http://www.lithium.com,Social CRM|Software," 151,650,012 ",operating,USA,CA,SF Bay Area,San Francisco,13,2001,2007-04-17,2013-09-03
