name,category_list,  funding_total_usd  ,status,country_code,state_code,region,city,funding_rounds,founded_year,first_funding_at,last_funding_at
GIGA TRONICS,Manufacturing," 1,791,329 ",ipo,USA,CA,SF Bay Area,San Ramon,2,1980,2013-03-01,2015-02-20
Heartland Dental Care,Health and Wellness," 1,572,000 ",operating,USA,IL,"Springfield, Illinois",Effingham,1,1980,2011-06-03,2011-06-03
Molina Healthcare,Health Care," 3,114,157 ",ipo,USA,CA,"Orange County, California",Long Beach,1,1980,2014-09-09,2014-09-09
Northwest Analytics,Software," 1,400,000 ",operating,USA,OR,"Portland, Oregon",Portland,1,1980,2014-07-23,2014-07-23
OSIsoft,Enterprise Software," 139,500,000 ",operating,USA,CA,SF Bay Area,San Leandro,2,1980,2009-10-21,2011-01-05
Air Ion Devices,Hardware + Software," 2,380,000 ",operating,USA,CA,SF Bay Area,Martinez,2,1981,2009-04-17,2013-10-21
ARI Network Services,E-Commerce|Software," 4,800,000 ",ipo,USA,WI,Milwaukee,Milwaukee,1,1981,2013-03-13,2013-03-13
Aspen Technology,Software," 100,000,000 ",ipo,USA,MA,Boston,Bedford,1,1981,2003-08-19,2003-08-19
Aztec Group,Finance," 5,300,000 ",operating,USA,FL,Miami,Miami,1,1981,2014-02-12,2014-02-12
Biovest International,Biotechnology," 7,000,000 ",operating,USA,FL,Tampa,Tampa,1,1981,2010-10-28,2010-10-28
Blue Shield of California Foundation,Health and Wellness," 9,100,000 ",operating,USA,CA,SF Bay Area,San Francisco,1,1981,2013-06-27,2013-06-27
CalAmp,Mobile," 9,250,000 ",ipo,USA,CA,Santa Barbara,Oxnard,2,1981,2010-01-07,2010-01-19
EnduraCare AcuteCare,Biotechnology," 7,646,823 ",operating,USA,AL,Mobile,Mobile,2,1981,2009-09-18,2010-01-13
Expert Networks,Software," 2,327,337 ",operating,USA,CA,Los Angeles,Chatsworth,2,1981,2012-09-21,2013-10-01
Healthways,Fitness|Health and Wellness|Health Care," 25,000,000 ",ipo,USA,TN,Nashville,Franklin,2,1981,2011-09-13,2013-10-02
ImmunoGen,Biotechnology," 26,000,000 ",ipo,USA,MA,Boston,Waltham,4,1981,2011-06-15,2011-12-20
Jackrabbit,Clean Technology," 17,700,000 ",operating,USA,CA,CA - Other,Ripon,1,1981,2013-04-22,2013-04-22
MID Labs,Health Care|Medical|Medical Devices," 51,000,000 ",operating,USA,CA,SF Bay Area,San Leandro,1,1981,2014-10-16,2014-10-16
Minco Technology Labs,Semiconductors," 5,500,000 ",operating,USA,TX,Austin,Austin,1,1981,2010-05-26,2010-05-26
NSC,Software," 4,000,000 ",operating,USA,WI,WI - Other,Brillion,2,1981,2005-04-01,2005-06-21
Panera Bread,E-Commerce," 100,000,000 ",ipo,USA,MO,St. Louis,St Louis,1,1981,2014-06-16,2014-06-16
Repligen,Biotechnology," 5,400,000 ",ipo,USA,MA,Boston,Waltham,2,1981,2010-12-15,2014-06-18
BATTERIES & BANDS,Jewelry|Shopping|Watch," 2,610,000 ",operating,USA,UT,Salt Lake City,Sandy,2,1982,2010-10-15,2012-12-28
Charter Venture Capital,Venture Capital," 30,000,000 ",operating,USA,CA,SF Bay Area,Palo Alto,1,1982,2004-03-01,2004-03-01
Coni-Seal,," 3,000,000 ",operating,USA,NJ,Newark,Lakewood,1,1982,2009-04-30,2009-04-30
Immunomedics,Biotechnology," 30,000,000 ",ipo,USA,NJ,Newark,Morris Plains,1,1982,2014-05-08,2014-05-08
Mesa Air Group,Aerospace|In-Flight Entertainment|Travel," 30,000,000 ",operating,USA,AZ,Phoenix,Phoenix,1,1982,2014-08-13,2014-08-13
Microbion,Biotechnology," 6,135,130 ",operating,USA,MT,Bozeman,Bozeman,5,1982,2009-10-26,2015-01-21
MYR,Biotechnology," 9,521,365 ",ipo,USA,IL,Chicago,Rolling Meadows,2,1982,2011-05-12,2014-10-31
PrimeSource Healthcare Systems,Biotechnology," 5,500,000 ",operating,USA,IL,Chicago,Buffalo Grove,1,1982,2013-08-26,2013-08-26
Smith Micro Software,Software," 12,467,197 ",ipo,USA,CA,Anaheim,Aliso Viejo,2,1982,2009-10-28,2014-08-29
Sovran Self Storage,Real Estate," 175,000,000 ",ipo,USA,NY,Buffalo,Buffalo,1,1982,2014-04-08,2014-04-08
Surgical Care Affiliates,Biotechnology|Health Care," 25,745,170 ",ipo,USA,AL,Birmingham,Birmingham,2,1982,2007-07-10,2011-10-05
Therma-Wave,Semiconductors," 10,060,000 ",operating,USA,CA,SF Bay Area,Fremont,1,1982,2005-11-18,2005-11-18
ACE*COMM,Public Relations," 5,000,000 ",operating,USA,MD,"Washington, D.C.",Gaithersburg,1,1983,2007-01-01,2007-01-01
Akron Global Business Accelerator,," 2,500,000 ",operating,USA,OH,Akron - Canton,Akron,1,1983,2014-09-26,2014-09-26
Ancestry,E-Commerce|Internet," 333,200,000 ",ipo,USA,UT,Salt Lake City,Provo,2,1983,1999-09-01,2007-10-16
Arkansas Science & Technology Authority,Business Services|Finance Technology|FinTech|Innovation Engineering," 3,000,000 ",operating,USA,AR,Little Rock,Little Rock,1,1983,2014-08-05,2014-08-05
BBK Worldwide,Advertising|Analytics|Big Data Analytics|Media," 3,000,000 ",operating,USA,MA,Boston,Needham,1,1983,2014-09-15,2014-09-15
Ben Franklin Technology Partners of Northeast Pennsylvania,Private Social Networking," 1,700,000 ",operating,USA,PA,Allentown,Bethlehem,1,1983,2015-09-29,2015-09-29
BEZ Systems,Enterprise Software," 13,100,000 ",operating,USA,MA,Boston,Boston,3,1983,2005-01-05,2008-01-30
CEL-SCI,Biotechnology," 4,400,000 ",ipo,USA,VA,"Washington, D.C.",Vienna,1,1983,2009-08-20,2009-08-20
City Sports,Sports," 2,702,000 ",operating,USA,MA,Boston,Boston,1,1983,2011-08-10,2011-08-10
DRI Corporation,Information Technology," 5,000,000 ",operating,USA,TX,Dallas,Dallas,1,1983,2008-06-30,2008-06-30
