name,category_list,  funding_total_usd  ,status,country_code,state_code,region,city,funding_rounds,founded_year,first_funding_at,last_funding_at,,,founded_dummy
MID Labs,Health Care|Medical|Medical Devices,"51,000,000",operating,USA,CA,SF Bay Area,San Leandro,1,1981,16/10/14,16/10/14,,,1981
Minco Technology Labs,Semiconductors,"5,500,000",operating,USA,TX,Austin,Austin,1,1981,26/05/10,26/05/10,,,1981
NSC,Software,"4,000,000",operating,USA,WI,WI - Other,Brillion,2,1981,01/04/05,21/06/05,,,1981
Panera Bread,E-Commerce,"100,000,000",ipo,USA,MO,St. Louis,St Louis,1,1981,16/06/14,16/06/14,,,1981
Repligen,Biotechnology,"5,400,000",ipo,USA,MA,Boston,Waltham,2,1981,15/12/10,18/06/14,,,1981
BATTERIES & BANDS,Jewelry|Shopping|Watch,"2,610,000",operating,USA,UT,Salt Lake City,Sandy,2,1982,15/10/10,28/12/12,,,1982
Charter Venture Capital,Venture Capital,"30,000,000",operating,USA,CA,SF Bay Area,Palo Alto,1,1982,01/03/04,01/03/04,,,1982
Coni-Seal,,"3,000,000",operating,USA,NJ,Newark,Lakewood,1,1982,30/04/09,30/04/09,,,1982
Immunomedics,Biotechnology,"30,000,000",ipo,USA,NJ,Newark,Morris Plains,1,1982,08/05/14,08/05/14,,,1982
Mesa Air Group,Aerospace|In-Flight Entertainment|Travel,"30,000,000",operating,USA,AZ,Phoenix,Phoenix,1,1982,13/08/14,13/08/14,,,1982
Microbion,Biotechnology,"6,135,130",operating,USA,MT,Bozeman,Bozeman,5,1982,26/10/09,21/01/15,,,1982
MYR,Biotechnology,"9,521,365",ipo,USA,IL,Chicago,Rolling Meadows,2,1982,12/05/11,31/10/14,,,1982
PrimeSource Healthcare Systems,Biotechnology,"5,500,000",operating,USA,IL,Chicago,Buffalo Grove,1,1982,26/08/13,26/08/13,,,1982
Smith Micro Software,Software,"12,467,197",ipo,USA,CA,Anaheim,Aliso Viejo,2,1982,28/10/09,29/08/14,,,1982
